"","geoid10","m0009w","m1019w","m2029w","m3039w","m4049w","m5059w","m6069w","m70upw","f0009w","f1019w","f2029w","f3039w","f4049w","f5059w","f6069w","f70upw","m0009b","m1019b","m2029b","m3039b","m4049b","m5059b","m6069b","m70upb","f0009b","f1019b","f2029b","f3039b","f4049b","f5059b","f6069b","f70upb","m0009a","m1019a","m2029a","m3039a","m4049a","m5059a","m6069a","m70upa","f0009a","f1019a","f2029a","f3039a","f4049a","f5059a","f6069a","f70upa","m0009o","m1019o","m2029o","m3039o","m4049o","m5059o","m6069o","m70upo","f0009o","f1019o","f2029o","f3039o","f4049o","f5059o","f6069o","f70upo","m0009h","m1019h","m2029h","m3039h","m4049h","m5059h","m6069h","m70uph","f0009h","f1019h","f2029h","f3039h","f4049h","f5059h","f6069h","f70uph"
"79",12031013522,89,77,116,108,104,93,66,43,76,61,132,96,97,118,72,51,90,85,103,79,92,46,12,3,106,89,107,86,104,57,16,7,18,13,12,21,19,15,6,7,24,17,12,24,26,21,14,1,19,8,10,6,9,3,1,0,21,7,14,9,1,6,1,1,59,39,62,41,33,25,6,7,60,47,67,41,31,27,11,11
"80",12031013721,304,289,331,278,339,294,167,96,338,283,361,323,305,280,168,158,314,305,168,228,201,113,33,10,325,332,231,319,264,119,48,30,37,38,13,46,22,22,11,5,32,35,15,58,42,19,11,12,41,37,11,15,11,9,2,1,44,33,16,16,11,12,3,3,121,66,80,76,38,38,16,8,122,81,76,76,44,33,16,7
"81",12031013723,218,214,216,247,257,225,185,84,230,189,220,234,265,258,190,104,135,133,78,105,124,80,27,13,144,108,121,117,153,77,24,11,14,17,7,12,17,14,4,4,11,14,8,16,29,19,8,5,25,23,15,9,8,8,3,2,32,32,8,11,13,8,3,2,50,44,47,39,35,16,12,6,54,41,47,39,34,22,14,5
"82",12031013726,436,267,323,436,415,391,206,146,370,300,370,417,363,356,259,164,203,202,112,167,169,108,32,15,172,187,117,208,174,111,47,22,18,14,20,35,21,21,22,11,27,31,27,47,44,38,22,10,57,29,22,17,4,10,3,1,63,38,23,28,9,17,7,1,98,88,58,74,58,35,21,8,95,78,63,81,69,44,15,6
"83",12031013727,223,261,247,300,342,327,239,122,268,248,254,305,361,393,249,147,148,167,94,126,141,125,46,22,111,149,111,116,197,141,50,23,28,41,30,34,44,47,35,21,35,53,44,34,67,68,43,16,42,36,22,12,17,7,3,2,57,32,19,16,14,11,8,1,62,56,43,43,51,43,14,16,59,58,66,47,50,47,16,22
"84",12031013800,204,124,492,113,54,25,10,11,168,74,204,94,38,22,11,10,36,41,182,30,8,3,1,1,33,24,46,23,9,5,3,2,4,2,16,3,1,1,0,0,7,1,10,7,4,1,0,0,18,16,16,4,2,0,0,0,33,9,13,5,2,1,0,0,64,25,95,24,8,0,0,1,45,14,51,19,9,1,0,0
"85",12031013901,154,188,1217,401,225,163,101,49,135,134,328,158,153,174,89,59,67,80,469,189,68,34,12,5,47,54,107,54,39,34,9,10,7,5,64,34,9,6,10,4,7,5,13,13,13,27,19,3,21,20,101,22,15,11,2,0,18,23,29,11,8,3,0,1,50,57,259,90,38,14,4,5,39,36,61,23,22,21,7,5
"86",12031013902,176,153,262,256,238,190,113,62,156,178,259,260,231,209,126,95,89,109,78,74,74,74,41,36,76,102,72,83,72,73,62,59,2,4,8,10,7,4,7,6,1,5,3,10,10,17,17,5,31,29,21,10,13,11,2,1,38,33,8,16,13,4,7,3,38,40,60,40,27,21,10,10,36,42,30,35,25,19,9,7
"87",12031013904,136,181,285,185,232,179,126,62,152,158,228,193,194,213,137,64,70,78,73,66,44,27,10,5,72,74,66,55,43,42,8,4,0,1,13,5,8,5,11,6,3,4,5,12,10,8,16,7,36,23,13,17,9,9,1,2,41,23,21,13,11,8,7,4,51,42,52,27,28,10,9,4,31,32,46,26,22,21,12,7
"88",12031013905,153,184,159,168,267,371,332,241,182,182,163,182,289,411,318,294,1,3,2,4,1,5,2,0,0,3,2,2,1,2,1,0,3,6,2,0,5,2,0,1,4,6,6,6,9,0,0,2,15,5,2,4,6,5,1,0,7,4,0,6,5,2,4,2,10,8,2,9,10,8,3,2,12,12,9,9,8,5,1,3
"89",12031013906,120,174,139,140,213,290,183,320,121,149,155,140,249,326,221,492,4,18,15,7,12,11,6,2,12,18,10,13,21,15,6,4,2,2,9,6,3,4,4,4,1,2,4,8,6,4,6,1,9,10,5,8,8,4,2,0,9,8,6,5,7,0,2,2,16,15,16,10,8,14,5,3,11,8,10,6,10,12,2,6
"90",12031014001,154,208,446,351,291,346,216,165,148,179,370,253,249,371,248,217,2,3,9,3,2,5,2,0,3,5,7,1,3,6,2,0,2,1,3,4,3,3,2,2,4,0,9,6,0,1,0,4,5,9,11,6,5,5,1,0,9,5,13,12,9,6,2,2,11,18,37,19,15,4,6,3,13,15,21,18,12,7,5,5
"91",12031014002,103,145,137,132,155,202,173,79,97,135,100,111,205,245,137,96,2,2,1,3,1,5,3,0,1,2,0,4,1,1,4,1,0,0,0,2,1,0,3,0,1,0,0,1,3,0,2,1,7,3,3,6,4,2,3,0,7,2,5,2,2,1,6,0,7,4,3,6,1,3,4,3,3,7,1,5,11,6,4,1
"92",12031014101,158,274,318,244,295,384,211,158,162,245,237,217,309,396,200,250,0,1,2,0,0,2,2,0,2,2,5,0,1,0,1,0,1,2,0,2,2,1,1,4,0,2,1,3,6,4,3,5,14,9,7,8,4,3,3,1,11,6,6,12,7,3,0,2,13,7,19,7,10,7,4,5,9,7,10,9,10,9,5,8
"93",12031014102,94,149,457,292,313,269,175,111,81,123,417,196,269,248,170,149,2,1,8,7,10,3,0,0,3,3,4,2,1,0,1,1,0,0,5,8,5,3,3,0,1,2,7,6,8,3,8,4,8,7,13,5,3,2,2,1,8,3,14,6,2,6,1,2,18,8,44,29,19,12,2,2,9,13,25,18,14,9,2,2
"94",12031014202,90,92,508,290,227,234,174,122,79,81,362,191,173,220,189,220,50,36,35,20,28,16,12,18,44,38,43,22,29,24,25,33,4,0,6,12,2,4,2,2,5,2,8,15,6,5,3,1,21,9,20,4,11,5,4,1,15,5,16,8,3,6,4,3,16,5,27,19,10,8,3,3,14,6,30,20,4,11,10,6
"95",12031014203,155,126,335,307,269,297,227,172,127,116,345,256,259,322,246,260,0,2,7,7,5,5,3,0,0,5,6,6,1,4,2,1,1,1,7,8,4,1,2,2,0,2,10,7,8,5,6,3,7,4,5,5,2,2,2,1,4,8,3,3,2,2,1,2,12,5,30,21,6,4,6,1,15,7,25,15,6,9,3,8
"96",12031014204,220,169,336,313,315,315,199,146,173,188,290,279,337,334,241,287,14,17,17,9,18,14,7,8,14,9,12,10,19,22,12,18,7,1,9,11,4,3,12,7,3,3,5,10,7,10,14,8,13,14,10,12,8,2,2,1,21,12,3,8,5,6,0,2,16,14,16,17,11,11,7,3,13,18,10,20,12,10,9,6
"97",12031014311,165,151,246,184,248,230,139,106,133,163,188,158,227,217,164,148,88,64,88,72,44,28,13,5,89,72,86,65,85,36,30,8,3,6,4,9,6,7,8,6,3,2,5,10,9,8,19,11,14,15,10,11,7,6,4,3,17,20,11,14,7,6,3,1,72,68,69,64,44,20,9,8,56,48,63,58,39,16,10,10
"98",12031014312,192,213,415,270,260,223,144,61,181,178,394,226,251,261,150,94,97,91,92,51,69,41,22,7,116,73,100,80,88,60,23,8,41,49,58,52,58,26,25,8,53,50,55,51,61,36,44,9,40,30,24,15,6,13,3,5,39,25,25,24,11,5,4,4,62,67,68,78,49,27,9,6,64,60,88,60,58,32,18,12
"99",12031014326,353,398,312,379,461,385,244,147,348,323,290,399,454,453,284,174,56,67,33,40,43,56,22,12,56,75,37,51,61,67,26,13,34,33,42,45,36,34,20,12,25,27,27,44,55,56,22,15,32,32,14,9,11,9,4,4,34,39,22,12,13,6,3,4,44,49,25,44,43,31,13,9,37,73,33,47,51,44,19,12
"100",12031014328,252,199,220,262,261,276,165,106,209,211,215,266,269,305,189,144,71,96,39,69,74,47,18,10,57,83,39,82,87,58,25,20,48,47,37,52,48,30,27,16,44,40,29,57,60,44,38,22,37,34,26,9,10,6,0,2,43,28,18,19,8,8,5,1,55,43,29,36,28,19,8,2,35,47,30,45,29,20,13,8
"101",12031014329,126,122,136,202,169,177,83,54,127,109,139,173,176,171,96,52,17,33,23,20,38,33,13,0,16,26,20,21,34,27,12,1,9,10,20,13,21,17,17,4,8,7,15,12,20,39,20,9,21,22,13,6,4,6,3,0,18,22,6,8,11,2,3,0,35,35,32,14,28,24,8,4,29,24,28,14,30,13,13,6
"102",12031014330,177,254,136,184,292,387,371,212,172,260,139,151,332,391,388,180,20,16,8,17,19,20,12,8,13,17,17,12,20,20,14,4,8,15,2,3,12,10,16,4,6,9,4,11,15,11,28,4,8,10,5,4,6,5,4,3,5,15,5,7,4,9,6,2,9,10,7,9,13,9,10,2,16,13,7,11,16,16,8,6
"103",12031014331,178,224,224,247,277,289,191,101,171,213,205,230,307,282,210,134,14,16,13,20,20,17,7,2,8,18,13,14,15,20,4,1,8,4,7,11,5,8,3,5,7,4,12,15,8,12,9,2,19,22,16,14,10,7,0,4,31,6,7,9,9,5,4,1,119,60,112,86,49,31,9,7,95,79,74,73,45,31,14,9
"104",12031014332,366,358,607,410,487,407,286,169,329,370,618,426,485,447,349,200,40,65,97,51,48,33,13,6,42,54,71,47,51,42,16,7,17,14,24,17,17,23,21,7,17,21,36,26,31,38,8,11,35,29,28,15,11,4,4,1,36,19,26,22,10,7,2,2,55,50,91,51,44,35,13,4,69,50,65,50,46,33,13,12
"105",12031014333,100,96,146,135,153,144,127,104,105,95,161,120,154,175,156,139,34,41,40,41,42,12,18,9,47,31,32,51,49,36,22,14,3,1,6,7,7,3,7,2,4,2,7,14,11,10,7,3,9,14,9,3,5,0,3,0,10,12,5,1,5,5,3,2,15,22,18,11,19,16,5,2,24,16,14,19,23,14,10,4
"106",12031014334,168,198,134,175,242,224,175,131,145,190,133,176,253,259,152,132,88,102,51,58,69,49,15,12,71,90,83,72,92,65,36,10,10,8,11,11,13,23,14,7,6,12,19,20,24,39,22,9,20,24,10,4,3,4,2,1,31,26,16,14,4,3,7,2,20,37,16,16,14,15,4,3,22,31,15,28,25,18,10,8
"107",12031014335,400,368,318,444,452,352,232,111,347,358,299,435,491,397,230,126,77,127,59,66,100,83,22,7,60,99,53,81,127,69,31,17,27,60,23,48,38,39,13,10,29,47,31,63,68,58,20,11,31,35,21,13,17,10,4,2,43,42,17,17,12,5,3,2,70,79,40,47,53,31,14,6,69,50,49,48,54,36,21,13
"108",12031014336,274,265,264,351,337,282,155,60,235,227,283,337,323,267,133,77,96,129,70,70,130,81,17,2,90,125,58,97,151,79,23,11,54,85,62,58,59,73,29,11,59,70,58,82,86,111,38,27,44,58,13,15,13,9,2,1,55,38,20,23,15,5,1,0,70,55,50,44,53,29,19,8,51,72,48,60,73,37,24,11
"109",12031014337,309,251,358,392,344,289,145,71,259,200,372,384,356,253,174,103,191,239,148,141,183,77,30,15,164,224,142,181,186,101,36,22,116,155,106,118,143,119,66,33,127,113,104,140,177,141,73,53,55,64,42,29,19,12,2,7,43,64,34,22,34,14,6,3,138,107,96,103,115,48,15,8,110,113,70,123,92,51,39,13
"110",12031014338,121,120,192,175,154,138,101,57,100,108,167,129,158,166,146,85,83,91,49,57,59,47,20,12,78,87,73,67,73,70,40,10,15,21,20,13,32,26,29,15,15,21,24,26,29,35,42,21,34,14,9,19,10,3,2,3,31,27,14,13,11,2,4,2,56,51,54,64,59,19,18,7,50,44,39,39,46,32,28,18
"111",12031014401,311,261,1121,678,465,437,265,167,349,293,1154,570,458,465,266,218,155,112,163,142,105,45,22,8,147,139,212,181,116,67,40,11,82,37,143,182,45,27,25,11,84,32,150,133,49,41,32,10,67,33,67,37,19,12,3,4,77,29,56,26,21,13,9,4,191,139,299,246,130,59,29,12,211,136,227,193,118,65,40,23
"112",12031014404,201,829,997,351,288,204,111,47,209,1026,976,266,289,185,115,47,51,151,251,59,47,40,10,3,33,227,281,39,64,36,9,3,22,34,42,22,28,24,10,4,23,34,50,27,40,23,14,9,17,28,35,8,8,10,1,4,21,48,59,11,7,5,4,4,85,123,202,77,50,26,10,8,72,141,155,81,35,27,12,8
"113",12031014406,245,221,318,301,321,327,311,245,236,243,430,317,335,369,310,286,27,38,46,45,41,18,12,11,31,30,41,62,50,24,17,7,60,40,32,93,51,37,20,12,66,34,48,93,55,41,21,11,24,15,9,11,5,9,4,0,23,16,14,12,11,9,3,2,39,36,34,40,34,24,11,13,33,41,54,38,53,26,16,19
"114",12031014408,176,172,286,198,276,280,227,156,168,186,255,207,270,281,239,224,36,26,38,18,15,7,3,1,41,34,38,30,28,13,2,3,7,3,3,2,8,9,4,1,1,5,4,15,8,11,12,1,21,20,7,9,3,4,4,3,20,10,8,6,6,5,0,2,23,26,27,29,16,10,4,0,24,25,21,21,19,11,8,6
"115",12031014409,452,378,704,558,517,482,337,200,447,420,739,602,543,554,341,230,55,44,96,66,36,35,20,7,48,35,70,53,58,30,14,6,48,39,30,62,53,26,14,11,59,44,36,80,50,27,23,11,49,21,36,27,7,11,2,3,56,26,30,18,10,6,2,3,73,47,81,40,45,22,11,9,82,43,89,67,58,30,14,12
"116",12031014410,276,161,487,413,339,256,242,385,264,214,582,404,330,317,269,683,29,24,49,55,35,14,4,5,40,26,35,39,35,24,11,15,13,14,17,30,18,13,5,8,18,14,24,40,23,18,17,8,35,10,14,12,13,2,2,2,37,12,16,15,12,5,1,3,58,24,43,54,29,12,8,6,64,25,58,49,29,17,16,17
"117",12031014411,242,180,530,370,350,278,182,105,231,184,559,317,337,324,247,124,68,63,125,83,49,48,15,3,72,73,161,99,82,49,15,6,123,72,169,165,104,49,29,17,105,71,154,115,114,43,31,19,30,19,36,17,10,7,2,1,47,8,27,14,9,6,2,0,47,27,97,52,43,26,10,14,43,36,70,66,43,42,21,12
"118",12031014412,589,339,532,693,547,383,399,251,544,336,590,751,571,432,476,311,90,97,83,116,118,62,34,17,87,108,69,137,124,80,41,22,174,82,61,204,138,40,30,18,156,89,97,228,97,59,27,29,54,36,30,45,12,11,5,4,56,39,21,32,18,10,10,6,100,66,72,118,62,41,21,11,120,78,89,110,76,43,23,6
"119",12031014413,207,193,260,198,292,325,239,109,212,201,247,212,332,329,214,136,50,49,52,50,47,35,21,6,45,46,71,55,58,44,28,13,82,65,107,104,83,54,32,19,66,47,104,80,80,55,31,23,26,20,15,10,4,6,3,4,22,12,8,11,9,5,7,5,13,32,35,28,30,18,6,10,37,26,32,27,39,31,16,5
"120",12031014500,122,161,202,191,231,231,134,123,122,158,206,172,214,197,177,160,50,51,37,50,40,27,12,3,47,67,47,54,58,26,20,6,11,16,13,10,7,17,4,1,10,7,9,18,14,14,8,3,12,6,10,8,9,5,6,1,20,15,12,5,7,7,1,1,35,43,22,31,33,19,6,4,34,32,17,33,18,23,13,7
"121",12031014601,231,309,222,195,398,451,348,257,212,283,204,232,415,486,331,319,16,32,14,13,38,29,17,8,15,27,15,14,42,27,17,11,4,10,6,13,14,18,17,6,17,11,12,19,20,22,13,7,16,18,7,6,2,3,2,0,16,16,10,7,5,7,4,0,27,28,11,17,14,18,12,5,24,32,16,14,30,17,12,12
"122",12031014603,170,155,226,228,270,220,150,121,168,166,223,203,236,197,168,163,119,141,77,103,79,53,20,14,131,139,148,132,106,98,41,24,10,16,9,14,11,6,5,4,8,10,19,11,15,23,6,2,31,12,20,9,5,6,1,1,32,14,15,18,6,7,2,4,45,33,51,39,32,23,9,10,42,37,49,34,44,28,7,15
"123",12031014604,85,76,277,119,127,88,60,103,71,69,261,121,100,110,75,189,111,107,257,108,110,63,29,13,108,92,237,160,112,88,32,18,12,12,28,18,9,15,5,4,5,11,30,19,22,19,5,2,25,16,23,6,11,4,1,0,23,13,34,9,3,4,3,3,49,32,69,47,28,18,12,3,38,28,82,38,39,30,4,4
"124",12031014701,160,177,168,170,210,240,196,142,149,158,198,173,211,258,213,163,340,240,313,187,177,97,56,19,350,293,489,282,230,187,73,27,7,13,17,2,7,14,9,6,5,12,19,9,9,21,8,4,36,19,15,8,5,4,5,1,24,10,14,9,12,16,3,2,57,43,48,32,17,19,10,8,56,37,47,39,33,21,7,14
"125",12031014702,64,116,79,75,114,149,94,99,62,99,65,82,116,168,111,140,144,83,54,39,48,20,21,8,108,83,98,69,46,56,26,23,3,1,1,5,4,6,4,3,4,3,4,7,4,8,8,4,18,9,4,2,6,3,0,3,18,10,7,4,7,7,1,1,17,17,12,8,9,11,7,3,17,15,16,11,13,13,9,5
"126",12031014800,48,259,271,73,90,132,96,113,46,235,269,72,85,141,118,183,146,154,230,122,110,90,33,22,144,179,254,140,103,101,47,36,3,10,9,6,2,5,6,4,0,16,7,9,6,9,5,8,17,19,16,6,9,4,1,0,17,21,18,7,9,10,2,5,32,49,49,14,26,15,8,6,40,60,69,22,23,13,14,21
"127",12031014901,141,175,181,181,201,242,152,151,134,164,181,173,215,253,177,237,118,167,91,97,120,108,47,17,115,173,106,131,160,122,54,26,6,7,16,7,6,12,5,8,12,10,18,8,14,20,17,7,18,28,11,7,6,8,3,2,17,20,14,8,14,4,1,1,32,39,37,34,30,28,11,10,38,35,39,24,32,28,16,18
"128",12031014902,233,197,281,247,279,229,138,70,184,194,273,268,282,278,182,178,206,222,168,187,180,112,52,20,221,203,207,228,241,164,57,31,23,20,17,20,24,27,11,2,17,23,29,36,28,18,14,10,38,30,20,16,6,11,2,1,36,29,23,16,18,5,5,2,65,68,57,45,64,30,18,8,77,75,49,75,69,32,21,26
"129",12031015001,135,160,194,180,211,254,130,170,124,152,193,167,214,217,201,224,99,163,108,99,128,65,40,17,102,127,91,117,149,101,45,21,9,8,14,23,6,8,13,9,15,17,20,23,10,19,14,11,32,34,8,11,12,4,4,3,38,29,13,9,12,7,6,3,52,71,51,41,41,32,11,11,67,48,53,64,45,33,21,12
"130",12031015002,72,118,91,83,142,140,87,127,76,103,101,88,153,147,115,183,85,102,75,49,75,47,26,9,120,114,122,94,91,68,40,15,6,11,6,8,10,7,5,3,5,6,12,4,12,10,5,1,10,12,7,2,3,4,3,2,10,16,5,3,4,3,1,1,13,22,14,9,15,11,3,5,24,17,16,12,20,10,9,7
"131",12031015100,122,138,126,153,175,174,99,93,121,102,154,128,153,163,104,146,100,105,78,104,64,65,26,7,102,106,86,90,85,69,29,15,0,4,7,3,2,5,2,4,3,3,2,5,7,2,7,3,21,13,4,6,8,0,2,3,19,22,12,8,3,2,2,2,43,36,24,31,33,22,9,5,39,31,34,34,49,19,15,6
"132",12031015200,73,61,127,83,100,95,66,59,56,48,105,73,103,96,63,96,102,71,107,77,70,46,21,12,96,92,115,93,77,75,26,10,1,4,3,7,0,7,2,1,4,2,7,5,4,4,6,3,14,9,10,3,2,2,3,1,21,5,12,13,6,1,1,0,39,21,43,31,35,12,8,6,31,31,31,30,28,14,12,5
"133",12031015300,54,66,88,93,133,150,98,99,48,60,76,86,109,123,115,145,40,61,61,56,61,47,22,12,56,49,65,50,68,55,20,10,1,3,2,6,0,5,4,0,7,3,4,7,4,3,4,1,8,6,3,7,7,5,1,0,7,5,5,6,7,5,2,2,12,16,21,23,26,13,10,2,11,9,14,15,16,13,10,4
"134",12031015400,66,63,97,94,93,109,53,59,60,74,88,83,113,109,62,90,60,70,56,36,61,34,17,6,62,74,52,57,67,44,21,11,1,4,1,1,4,4,2,3,2,0,4,3,7,6,3,4,15,7,2,6,3,3,1,0,12,6,9,3,2,2,3,1,30,18,17,22,21,22,8,2,18,27,19,22,19,19,6,5
"135",12031015501,75,80,109,115,169,173,110,115,57,95,101,108,145,140,108,137,97,73,88,87,79,87,43,26,92,67,98,75,67,66,29,25,3,1,2,5,6,4,0,1,1,0,5,8,5,6,1,4,26,10,11,4,5,6,1,0,22,10,9,8,7,2,1,1,22,25,45,31,25,19,12,6,18,20,25,11,20,13,6,3
"136",12031015502,100,73,100,88,143,131,68,34,94,92,119,91,114,111,87,59,302,124,127,103,75,54,18,7,281,180,316,143,96,70,35,11,2,4,2,5,4,3,2,0,3,5,6,4,6,4,1,1,35,14,7,7,4,4,2,2,30,10,16,12,4,8,4,2,58,24,54,25,16,12,6,6,48,17,43,24,22,14,7,11
"137",12031015600,103,123,126,138,196,217,176,162,96,115,143,131,172,252,174,243,76,42,82,59,26,24,6,6,73,69,133,57,41,35,14,9,0,2,3,5,1,1,6,4,1,4,3,5,2,4,9,5,11,8,6,4,8,4,5,1,11,10,6,12,9,9,3,1,11,10,15,16,11,18,5,6,19,12,12,12,11,13,6,10
"138",12031015700,143,119,177,161,200,229,145,157,112,116,175,155,165,241,158,231,143,108,139,127,113,94,25,14,127,99,191,150,123,106,33,27,9,3,7,18,6,4,6,3,5,0,10,14,8,6,9,2,25,13,24,9,5,8,2,3,19,7,16,12,14,10,5,1,59,44,77,113,28,29,10,8,65,38,76,58,34,19,9,10
"139",12031015801,231,250,298,299,337,418,269,303,228,252,288,247,361,409,297,436,71,78,71,69,49,32,17,7,70,71,81,66,68,53,19,5,4,5,6,5,8,2,1,1,2,7,5,8,9,8,2,2,23,13,11,10,6,7,2,2,21,20,14,9,12,11,4,4,52,28,52,42,29,22,12,8,49,33,50,42,37,21,14,10
"140",12031015802,163,141,302,242,176,213,115,69,169,137,290,217,205,240,133,122,181,195,170,154,155,81,29,10,185,212,214,191,182,156,38,20,28,28,31,36,18,23,9,8,21,21,40,36,23,26,15,9,36,29,22,17,15,10,3,3,38,32,14,17,9,9,2,2,97,77,97,77,85,49,21,15,87,82,96,88,80,63,30,23
"141",12031015922,53,57,227,149,97,110,82,54,41,42,224,86,106,101,111,86,34,29,94,71,45,28,13,7,36,29,156,62,58,26,9,6,33,7,49,75,20,2,7,6,33,12,59,37,14,9,10,2,15,2,20,9,2,6,0,1,17,8,18,6,3,5,0,0,36,15,56,31,22,11,6,5,27,25,45,28,27,18,10,7
"142",12031015923,242,203,791,500,355,355,248,173,229,189,877,446,346,409,254,217,149,91,146,107,67,50,15,12,141,114,182,141,88,60,26,13,102,41,94,149,63,29,24,8,84,42,110,154,52,29,27,7,41,17,34,21,12,11,4,2,42,24,54,21,9,9,7,3,62,24,107,60,36,16,7,0,56,53,123,73,45,30,17,10
"143",12031015924,139,193,186,177,230,256,170,221,115,160,170,183,197,260,227,407,27,32,22,28,30,30,24,17,23,36,41,37,35,48,41,39,4,11,12,15,4,13,7,4,11,9,12,17,10,12,11,7,14,6,7,8,5,7,4,5,9,15,5,3,11,6,3,5,38,23,38,34,36,19,11,7,30,24,40,23,31,16,10,24
"144",12031015925,114,61,441,209,124,98,78,60,102,81,490,191,137,103,120,108,90,55,153,87,62,26,16,5,94,81,170,125,72,28,20,8,41,4,32,74,17,10,4,1,39,3,53,51,11,13,9,3,41,9,35,14,9,2,1,1,38,12,43,19,10,2,1,0,64,50,150,95,51,16,8,8,67,44,116,53,43,14,10,9
"145",12031015926,76,45,429,191,132,120,111,191,90,82,443,183,157,173,151,442,48,33,106,63,39,22,6,10,60,41,151,74,52,31,8,13,12,7,33,28,7,10,4,3,17,9,41,24,11,9,5,1,13,10,22,5,6,4,1,2,21,10,23,14,7,4,5,2,34,13,71,46,20,6,8,4,32,16,72,41,21,12,8,8
"146",12031016000,161,214,237,227,284,318,234,249,143,194,225,208,289,340,309,471,52,64,81,56,68,70,34,28,61,68,69,65,83,75,44,62,7,10,13,15,12,18,18,3,6,9,21,13,15,19,24,4,23,15,12,8,10,7,4,2,15,15,11,6,10,7,4,4,59,39,105,91,53,37,16,17,49,37,51,46,45,21,17,35
"147",12031016100,176,242,263,206,290,347,200,202,164,217,249,198,275,317,246,438,159,134,93,91,85,81,28,20,146,156,137,109,102,81,44,30,13,19,20,17,14,16,15,14,20,23,17,15,16,17,21,11,25,15,10,10,7,9,4,1,29,13,11,15,7,13,6,4,136,90,214,158,108,53,27,15,137,95,119,103,70,41,24,25
"148",12031016200,55,65,89,77,112,128,73,55,48,56,76,63,116,108,82,89,33,28,21,34,33,34,24,5,37,36,33,28,35,38,33,3,10,9,8,12,8,4,2,3,5,8,7,8,10,5,3,6,6,9,2,3,2,2,1,2,9,6,2,3,7,4,0,4,37,31,87,52,45,23,11,5,40,21,28,27,28,12,9,5
"149",12031016300,55,60,78,68,86,80,60,24,44,58,65,56,89,74,61,51,85,55,57,41,43,51,24,35,80,75,58,49,67,58,28,56,23,26,5,11,14,8,3,14,20,27,10,14,14,8,8,9,11,4,6,6,7,5,0,0,9,6,6,4,6,6,1,3,21,14,28,20,16,8,7,1,17,15,11,24,14,11,6,2
"150",12031016400,268,262,187,258,322,355,220,174,234,206,194,292,369,369,265,289,31,22,22,26,32,29,16,19,23,29,31,20,35,35,20,40,0,3,9,8,5,5,6,0,6,5,4,5,6,7,3,4,12,5,6,7,7,6,1,1,12,12,4,9,4,6,1,1,16,18,23,26,31,13,7,5,14,15,13,17,18,14,7,7
"151",12031016500,211,260,158,186,279,366,318,342,207,238,145,209,313,401,344,457,15,13,11,15,10,16,8,0,16,10,13,12,13,13,5,1,9,32,16,11,9,10,10,5,8,12,14,13,13,12,9,5,10,10,11,5,5,0,4,2,7,10,2,7,6,4,4,2,12,25,19,15,13,18,17,12,18,9,12,15,10,24,14,10
"152",12031016601,122,121,250,215,163,169,97,122,107,99,264,175,197,191,147,446,192,136,186,137,105,74,43,11,210,131,289,179,159,110,45,29,22,19,54,39,34,19,8,6,16,22,57,29,32,16,6,9,32,24,26,16,7,9,4,1,32,17,22,18,13,9,3,3,86,72,117,100,63,37,17,21,92,55,105,75,47,39,27,27
"153",12031016603,126,141,130,148,189,220,196,143,120,111,151,151,186,262,225,209,16,21,17,39,21,14,5,4,18,19,15,23,22,27,6,5,0,2,3,5,5,4,4,1,6,3,3,3,6,6,3,3,18,7,8,3,5,3,1,1,15,8,3,7,4,3,3,2,15,9,20,15,14,11,6,6,14,15,12,13,19,14,3,6
"154",12031016604,114,134,196,162,204,233,163,204,102,133,153,170,212,252,247,369,34,37,29,21,41,28,10,5,30,36,39,31,34,33,11,10,10,7,7,11,7,9,7,2,7,15,11,7,8,14,9,5,15,10,6,5,8,6,0,2,18,7,10,12,3,7,2,1,49,33,38,27,34,16,11,6,43,24,33,34,26,12,17,23
"155",12031016711,180,223,120,143,233,324,345,257,170,234,128,154,247,378,396,359,2,8,7,4,8,8,7,4,2,8,3,1,11,9,6,10,2,5,3,3,3,8,5,7,4,6,1,5,4,6,9,3,3,11,3,4,6,3,4,1,9,4,2,4,8,4,2,2,13,16,7,10,12,11,6,14,13,17,3,12,13,14,11,6
"156",12031016722,263,230,289,313,317,309,252,177,240,258,315,303,383,387,304,366,111,76,67,46,63,35,16,16,97,92,97,89,76,66,30,30,23,24,17,23,20,15,6,9,28,21,21,32,21,18,10,17,34,17,17,13,10,8,3,2,33,19,15,9,12,8,3,2,109,57,79,61,60,42,17,13,79,70,97,68,51,39,24,26
"157",12031016724,178,131,341,219,228,244,159,109,163,156,317,184,222,273,181,171,64,40,88,64,48,43,11,4,61,39,104,82,54,56,21,13,11,8,6,15,3,6,4,2,12,3,23,17,10,8,4,4,25,12,16,15,6,6,3,3,27,14,10,9,4,8,7,4,51,33,73,48,30,26,7,4,38,26,51,33,25,17,6,13
"158",12031016725,119,113,168,134,160,168,100,66,112,121,194,158,166,189,105,91,107,91,67,52,58,45,14,6,110,127,134,98,70,66,26,13,8,27,16,16,28,18,15,4,15,12,24,17,22,31,14,9,18,26,21,6,4,4,3,1,17,21,12,9,9,5,1,2,62,53,45,53,24,15,8,7,52,57,41,46,38,20,17,7
